district_id,year,function_code,function_name,amount,pct
93,2013,2900,Other Support Services,0.0,0.0
93,2013,1500,Non-public Programs,0.0,0.0
93,2013,"1600-1800,2750",Community Programs,0.0,0.0
93,2013,5120,Bond Interest,54547.0,0.5
93,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
93,2013,3100,Food Service,50625.259999999995,0.5
93,2013,4000,Facility Construction,19100.0,
93,2013,5100,Bonds & Notes Principal Repayment,516000.0,
95,2013,1100,Regular Education,3743649.0,49.0
95,2013,1200,Special Programs,1627000.0,21.3
95,2013,1300,Vocational Programs,0.0,0.0
95,2013,1400,Other Instructional Programs,40097.0,0.5
95,2013,2100,Student Support Services,420795.0,5.5
95,2013,2200,Instructional Staff Support,269913.0,3.5
95,2013,2300&2800,Genral Administration & Business,528489.0,6.9
95,2013,2400,School Administration,219762.0,2.9
95,2013,2500,Business Services,9572.0,0.1
95,2013,2600,Plant Operations,358493.0,4.7
95,2013,2700,Transportation,392378.0,5.1
95,2013,2900,Other Support Services,0.0,0.0
95,2013,1500,Non-public Programs,0.0,0.0
95,2013,"1600-1800,2750",Community Programs,0.0,0.0
95,2013,5120,Bond Interest,0.0,0.0
95,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
95,2013,3100,Food Service,32977.91,0.4
95,2013,4000,Facility Construction,170868.0,
95,2013,5100,Bonds & Notes Principal Repayment,0.0,
99,2013,1100,Regular Education,2810088.0,55.0
99,2013,1200,Special Programs,777938.0,15.2
99,2013,1300,Vocational Programs,0.0,0.0
99,2013,1400,Other Instructional Programs,50302.0,1.0
99,2013,2100,Student Support Services,336551.0,6.6
99,2013,2200,Instructional Staff Support,167647.0,3.3
99,2013,2300&2800,Genral Administration & Business,142683.0,2.8
99,2013,2400,School Administration,194534.0,3.8
99,2013,2500,Business Services,0.0,0.0
99,2013,2600,Plant Operations,283380.0,5.5
99,2013,2700,Transportation,268778.0,5.3
99,2013,2900,Other Support Services,0.0,0.0
99,2013,1500,Non-public Programs,0.0,0.0
99,2013,"1600-1800,2750",Community Programs,0.0,0.0
99,2013,5120,Bond Interest,21574.0,0.4
99,2013,5310+5390,Charter Schools/Other Agencies,1557.6,0.0
99,2013,3100,Food Service,55535.38,1.1
99,2013,4000,Facility Construction,0.0,
99,2013,5100,Bonds & Notes Principal Repayment,92012.0,
101,2013,1100,Regular Education,10415127.0,34.1
101,2013,1200,Special Programs,8171849.0,26.8
101,2013,1300,Vocational Programs,1582144.0,5.2
101,2013,1400,Other Instructional Programs,550431.0,1.8
101,2013,2100,Student Support Services,1977471.0,6.5
101,2013,2200,Instructional Staff Support,705092.0,2.3
101,2013,2300&2800,Genral Administration & Business,1378457.0,4.5
101,2013,2400,School Administration,1708730.0,5.6
101,2013,2500,Business Services,14092.0,0.0
101,2013,2600,Plant Operations,2490977.0,8.2
101,2013,2700,Transportation,907467.0,3.0
101,2013,2900,Other Support Services,0.0,0.0
101,2013,1500,Non-public Programs,0.0,0.0
101,2013,"1600-1800,2750",Community Programs,61957.0,0.2
101,2013,5120,Bond Interest,64350.0,0.2
101,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
101,2013,3100,Food Service,482650.0,1.6
101,2013,4000,Facility Construction,0.0,
101,2013,5100,Bonds & Notes Principal Repayment,330000.0,
103,2013,1100,Regular Education,342526.0,83.2
103,2013,1200,Special Programs,0.0,0.0
103,2013,1300,Vocational Programs,0.0,0.0
103,2013,1400,Other Instructional Programs,0.0,0.0
103,2013,2100,Student Support Services,2514.0,0.6
103,2013,2200,Instructional Staff Support,0.0,0.0
103,2013,2300&2800,Genral Administration & Business,26127.0,6.3
103,2013,2400,School Administration,0.0,0.0
103,2013,2500,Business Services,0.0,0.0
103,2013,2600,Plant Operations,0.0,0.0
103,2013,2700,Transportation,40731.0,9.9
103,2013,2900,Other Support Services,0.0,0.0
103,2013,1500,Non-public Programs,0.0,0.0
103,2013,"1600-1800,2750",Community Programs,0.0,0.0
103,2013,5120,Bond Interest,0.0,0.0
103,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
103,2013,3100,Food Service,0.0,0.0
103,2013,4000,Facility Construction,0.0,
103,2013,5100,Bonds & Notes Principal Repayment,0.0,
707,2013,1100,Regular Education,316446.0,56.3
707,2013,1200,Special Programs,0.0,0.0
707,2013,1300,Vocational Programs,0.0,0.0
707,2013,1400,Other Instructional Programs,5660.0,1.0
707,2013,2100,Student Support Services,59983.0,10.7
707,2013,2200,Instructional Staff Support,0.0,0.0
707,2013,2300&2800,Genral Administration & Business,16459.0,2.9
707,2013,2400,School Administration,87985.0,15.7
707,2013,2500,Business Services,5815.0,1.0
707,2013,2600,Plant Operations,69163.0,12.3
707,2013,2700,Transportation,0.0,0.0
707,2013,2900,Other Support Services,0.0,0.0
707,2013,1500,Non-public Programs,0.0,0.0
707,2013,"1600-1800,2750",Community Programs,0.0,0.0
707,2013,5120,Bond Interest,628.0,0.1
707,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
707,2013,3100,Food Service,0.0,0.0
707,2013,4000,Facility Construction,0.0,
707,2013,5100,Bonds & Notes Principal Repayment,0.0,
105,2013,1100,Regular Education,2485289.0,39.3
105,2013,1200,Special Programs,892578.0,14.1
105,2013,1300,Vocational Programs,22500.0,0.4
105,2013,1400,Other Instructional Programs,116493.0,1.8
